id|notificationreferencenumber|vehicleproperty_vin|vehicleproperty_description_short|nBody|nChas|BrandModel|BrandModel2|BrandModel3|Brand|Brand2
71|2014-000-000046-470|WVWZZZAUZDW066684|Автомобиль VOLKSWAGEN GOLF||||||AUDI|
72|2014-000-000047-612|WDD2073341F237757|Автомобиль MERCEDES-BENZ E 200||||||MERCEDES-BENZ|
85|2014-000-000060-316|JN1TBNT31U0006072|автомашина NISSAN X-TRAIL 2.0 SE 2007 года выпуска|||NISSAN X-TRAIL|||INFINITI|
86|2014-000-000061-268|XTA217230C0204098|автомашина LADA 217230LADA PRIORA2012 года выпуска|||||LADA 2172 PRIORA HATCHBACK|ATLETIC|
87|2014-000-000062-364|X7LHSRH8550839743|автомашина RENAULT DUSTER2014 года выпуска||||||RENAULT|
88|2014-000-000063-314|JMBXTGA3WCZ013133|АВТОМАШИНА MITSUBISHI ASX 1.82012 года выпуска|||MITSUBISHI ASX|||MAZDA|
89|2014-000-000056-819|X9FKXXEEBKBS07072|автомашина FORD Форд Фокус2011 года выпуска||||FORD OTHER|FORD OTHER|FORD|
90|2014-000-000057-953|JMZCW19F700139079|MAZDA 52012 года выпуска||||||FORD|
91|2014-000-000058-903|JN1TESY61U0159827|автомашина NISSAN PATROL 3.0D ELEGANCE 2008 года выпуска|||NISSAN PATROL|||INFINITI|
92|2014-000-000059-376|XMCXJZ34A8F062769|MITSUBISHI COLT 1.3 2008 года выпуска||||||MITSUBISHI|
93|2014-000-000064-251|Z8TNCNFUCCM503011|автомашина CITROEN C42012 года выпуска||||||CITROEN|
94|2014-000-000065-610|XUVDB14B170001894|автомашина CHERY SUV T11 (SQR7247)2007 года выпуска||||||CHERY|
95|2014-000-000066-558|XWEJT811BB0003511|автомашина KIA AM (Soul)2011 года выпуска||||||GENESIS|
96|2014-000-000067-508|JNZBL12Z501140069|втомашина MAZDA 32009 ГОДА ВЫПУСКА ЦВЕТ ЧЕРНЫЙ||||||INFINITI|
116|2014-000-000078-108|HHKHLK05LC0000007|Погрузчик фронтальный  Hyunday HL770-9Sзаводской № машины (рамы): HHKHLK05LC0000007двигатель № 73427626ПСМ: ТС 226353|||||||
121|2014-000-000087-130|Y3M544018C0001290|ГРУЗОВОЙ ТЯГАЧ СЕДЕЛЬНЫЙМАЗ 544018-1320-031Категория С2012 г/вМодель№ двигателя - OM 501LA.III/18. 541952C0844467Шасси (рама) № Y3M544018C0001290Кузов № - отсутствует. Цвет кузова (кабиныприцепа) - синийМощность двигателял.с. (кВт) - 435 (320)Рабочий объем двигателякуб.см. - 11948Тип двигателя - ДизельныйРазрешенная максимальная массакг - 18550Масса без нагрузкикг -7700Паспорт Транспортного Средства - 77 УК 351401Свидетельство о регистрации транспортного сре||||MAZ OTHER|MAZ OTHER|MAZ|
122|2014-000-000088-909|LGGX4DD317H135422|ДОНГ ФЕНГ DFL3251A-12008 г/в.ПТС: 74 НА 934174 от 16/12/2011 г. Цвет красный||||DONG FENG OTHER|DONG FENG OTHER|DONG FENG|
123|2014-000-000088-909|KMHNU81WDBU144584|HYUNDAI IX55 3.0 AT2010 Г/В.ПТС: 78 УН 186823 от 22/09/2010 г. Цвет синий.||||||HYUNDAI|
124|2014-000-000088-909|YS2R6X60001290101|SCANIA R124CB6X6HZ3602003 Г.В.ПТС: 77 ТM 063767 от 15/10/2003 г. Цвет белый.||||||SAAB|
125|2014-000-000089-371|VNKKL98380A178355|ТОЙОТА Ярис 2007 г.в. ПТС - 77 ТР 013219 от 20.04.2007 г. Свидетельство о регистрации ТС - 74 ОТ 975708 от 05.05.2007 г. Наименование ТС - легковой автомобиль. Цвет кузова - чёрный. Страна-изготовитель - Франция.||||||TOYOTA|
126|2014-000-000091-263|WVGZZZ1TZBW075967|Автомобиль VOLKSWAGEN TOURAN2011 г.в.цвет серебристыйПТС 78 УП 321185 от 23.03.2011г.||||||VOLKSWAGEN|
127|2014-000-000096-943||Погрузчик-экскаватор JCB 3CX-4WS-SMцвет желтый2012 г.в.ПСМ ТА №300938 выдан 27.08.2012 г. ООО Предприятие стройкомплект г. Екатеринбург. Свидетельство о регистрации ТС СА № 455752 от 11.02. 2013 г. Гос. №6638 ХР 74. Идентификационный номер: 2019371.|||||||
128|2014-000-000092-213|XTA21102010285149|ВАЗ-211022000 г.в. Цвет: тёмно-красный. ПТС 63 ЕХ 257772 от 14.10.200 г.выдавший орган - АО Автоваз г. Тольятти|||||LADA OTHER|ATLETIC|
129|2014-000-000093-860|LZZ5EYNBX7A146510|Автомобиль HOWO ZZ3407N3267W грузовой самосвалцвет красный2007 г.в.ПТС 74 НМ 263747РЭО ГИБДД МОВД г. Чебаркуля и Чебаркульского района||||HOWO 3407|HOWO 3407|HOWO|
130|2014-000-000094-702|MMCGYKH40BFZ07612|Легковой автомобиль MITSUBISHI PAJERO SPORT 2.5цвет кузова - серый2011 г.в.ПТС 78 УО 257975 от 08.06.2011 г.|||MITSUBISHI PAJERO SPORT|||MITSUBISHI|
131|2014-000-000095-368|WV1ZZZ2HZB8066485|Автомобиль VOLKSWAGEN Amarok2011 года выпускацвет белый||||||VOLKSWAGEN|
132|2014-000-000090-326|Y3M54406960000452|Паспорт транспортного средства 77 ТН 676650 от 02.05.2006 Маркамодель ТС МАЗ-544069-320-021 Наименование (тип ТС) грузовой-тягач седельный Категория ТС С Год изготовления ТС 2006 Модель№ двигателя MAN-D2866 LP2537612950641302 Шасси (рама) № YЗМ54406960000452 Кузов (кабинаприцеп) № не установлено Цвет кузова (кабины) красный (вишневый) Мощность двигателял.с. (кВт) 410 - (301) Рабочий объем двигателякуб.см 11967 Тип двигателя дизельный Разрешенная максимальная массакг 18350 Масса без||||MAZ OTHER|MAZ OTHER|MAZ|
344|2014-000-000216-315|TMAJU81EBEJ582743|HYUNDAI IX35 2014 года выпуска цвет коричневый||||||HYUNDAI|
472|2014-000-000264-639|LVVDB12B3DD006525|CHERY S122013||||||CHERY|
473|2014-000-000265-576|X9L212300B0344718|CHEVROLET NIVA 212300-552011||||||CHEVROLET|
474|2014-000-000266-047|XTA219170EY106442|LADA219170 LADA GRANTA2014|||||LADA 2191 GRANTA LIFTBACK|ATLETIC|
133|2014-000-000097-306|Z7G244000BS035824|Паспорт транспортного средства 16 НЕ 890254 от 04.08.2011 Маркамодель ТС Fiat DUCATO Наименование (тип ТС) Грузопассажирский фургон Категория ТС В Год изготовления ТС 2011 Модель№ двигателя F1AE0481C1319188 Шасси (рама) № отсутствует Кузов (кабинаприцеп) № Z7G244000BS035824 Цвет кузова (кабины) белый Мощность двигателял.с. (кВт) 110 - (81) Рабочий объем двигателякуб.см 2286 Тип двигателя дизельный Экологический класс третий Разрешенная максимальная массакг 3300 Масса без нагрузкикг|||FIAT DUCATO||GAZ M21|FIAT|
134|2014-000-000098-258|XWEPC811DB0003521|Легковой автомобиль KIA Sportage2011 г.в. цвет черный перламутрПТС 39 НЕ 22819122.03.2011гООО Эллада Интертрейдг. Калининград|||||LADA OTHER|GENESIS|
135|2014-000-000099-195|Z94CB41BBCR020137|Легковой автомобиль KIA RIO2011 г.в.цвет синийПТС 78 НМ 54897319.12.2011 гООО ХММР г. Санкт-Петербург.||||||HYUNDAI|
149|2014-000-000124-683||Марка ISSAN QASH!AI+2 Год выпуска 2011 Двигатель № HR16 174340C Шасси (рама) № отсутствует Кузов № SJNJAAJ10U7086712 Цвет кузова (кабины) светло-коричневый Свидетельство о регистрации № 22 ХХ 112112 Регистрационный знак А 163 УК 22 ПТС 78 УО 342666 от 25.09.2011|||||LADA 2112 HATCHBACK||
150|2014-000-000125-370||Марка-Экскаватор Одноковшовый ЭО-2202 Год выпуска 2010 Заводской № машины (рамы) 00229/808102344 Номер двигателя 511316 Коробка передач № 323993 Основной ведущий мост(мосты) № 622219/0710302-04 Цвет сине-желтый Вид движения колесный Регистрационный знак 22 МС 8730 паспорт самоходной машины ВЕ 416060|||||IZH OTHER||
151|2014-000-000126-871|XTC532130S1081854|Грузовой автомобиль КАМАЗ 53213цвет белыйгод изготовления 1995номер рамы 1081854номер двигателя 740.20 045248государственный регистрационный знак Х 317 ЕС 19|||||MAZ OTHER|GAZ|
152|2014-000-000124-683/1||Марка NISSAN QASHQAI+2 Год выпуска 2011 Двигатель № HR16 174340C Шасси (рама) № отсутствует Кузов № SJNJAAJ10U7086712 Цвет кузова (кабины) светло-коричневый Свидетельство о регистрации № 22 ХХ 112112 Регистрационный знак А 163 УК 22 ПТС 78 УО 342666 от 25.09.2011|||||LADA 2112 HATCHBACK||
155|2014-000-000130-491|X8947840070BH3086|Лесовоз на базе автомобиля Уралгос. номер В 761 ССсвидетельство о регистрации ТС 66 РМ № 642654 от 31.10.2007 г.2007 г. вып|||||KAMAZ 6426|5TSARZ|
156|2014-000-000130-491|X8947840070BH3087|Лесовоз на базе автомобиля Уралгос. номер В 762 ССсвидетельство о регистрации ТС 66 СХ № 570410 от 02.12.2008 г.2008 г. вып||||||5TSARZ|
157|2014-000-000130-491|JTNBE40K403180449|Автомобиль TOYOTA CAMRY легковойгос. номер Т 070 НХсвидетельство о регистрации ТС 66 СХ № 570410 от 02.12.20082008 г. вып.|||TOYOTA CAMRY|||LEXUS|
158|2014-000-000130-491|X1M3205C280009087|Автобус ПАЗ-32053-110-07 КААЗгос. номер ЕК 932свидетельство о регистрации ТС 66 СХ № 579955 от 06.12.20082008 г.вып.||||||FORD|
159|2014-000-000132-689|X7LLSRB1HCH500212|RENAULT LOGANПТС 77 НК 754989 выдан 08.02.2012 г. ОАО Автофрамос2012 г.в.цвет синий||||||RENAULT|
160|2014-000-000131-545|WV1ZZZ2EZC6045059|Легковой автомобиль VOLKSWAGEN 2EKZ CRAFTER2012 г.объем двигателя 1968 куб смтип двигателя дизельныйцвет кузова темно-красныймощность двигателя 163 л.с.номер двигателя: CKU018637||||||VOLKSWAGEN|
161|2014-000-000133-983|JTDDR32T920121452|TOYOTA CELICAПТС 78 ТР 410668 выдан 31.05.2013 г. РЭО ГИБДД ОВД2002 г.в.цвет серебристый||||||LEXUS|
162|2014-000-000134-295|X7LLSRB2HBH467180|RENAULT LOGANПТС 77 НК 674665 выдан 10.11.2011 г. ОАО Автофрамос2011 г.в.цвет синий||||||RENAULT|
163|2014-000-000134-295|X7LLSRB2HBH467179|RENAULT LOGANПТС 77 НК 675306 выдан 14.11.2011 г. ОАО Автофрамос2011 г.в.цвет синий||||||RENAULT|
164|2014-000-000134-295|X7LLSRB2HBH467178|RENAULT LOGANПТС 77 НК 674664 выдан 10.11.2011 г. ОАО Автофрамос2011 г.в.цвет синий||||||RENAULT|
165|2014-000-000140-949||NISSAN SAFARI1998 года выпускадвигатель № ТВ45 R051203шасси № WGY61 800462кузов отсутствует; цвет кузова белый; ПТС 25 ТЕ 785078; свидетельство о регистрации ТС: 2801№ 233522государственный регистрационный знак В555УТ 28|||||||
166|2014-000-000138-794||NISSAN NOTE2006 года выпусканаименование: легковой; двигатель № HR15 068552Aкузов № E11-180630цвет: темно-серыйПТС 25 УР 619525свидетельство о регистрации ТС 28 12 № 014442; государственный регистрационный знак Е684 НР 28|||||||
167|2014-000-000139-640||TOYOTA CROWN ATHLETE2004 года выпусканаименование: легковойдвигатель GR-0020152; шасси - отсутствует; кузов № RS180-5007139цвет: белыйПТС 25 УА 351548; свидетельство о регистрации ТС 28 ТТ 210762государственный регистрационный знак: А555ХН 28|||||LADA 2107 CLASSIC||
168|2014-000-000146-593|KMHDU41DP7U042060|автомашина ХЕНДЭ ЭЛАНТРА2006 года выпуска||||HYUNDAI OTHER|HYUNDAI OTHER|HYUNDAI|
171|2014-000-000150-688|X89679603C0AF0051|Грузовой-тягач специальный2012 г.в.гос. номер С458РМ69марка 6796-03 на шасси VOLVO FНмодель № двиг. D13 023944шасси YV2ASW0A36B437889цвет желтыймощность двиг. 480 л.с.раб. V двиг. 12780 куб.см.разрешенная макс. масса 18000 кг.масса без нагрузки 7500 кг.страна Россия|||||VOLVO FM|5TSARZ|
172|2014-000-000150-688|X89679603C0AF0046|Грузовой-тягач специальный2012 г.в.гос. номер С444РН69марка 6796-03 на шасси VOLVO FНмодель № двиг. D13 031066шасси YV2ASW066B442505цвет желтыймощность двиг. 480 л.с.раб. V двиг. 12780 куб.см.разрешенная макс. масса 18000 кгмасса без нагрузки 7500 кгстрана Россия|||||VOLVO FM|5TSARZ|
173|2014-000-000150-688|X89679603D0AF0055|Грузовой-тягач специальный2013 г.в.гос.номер К892РМ69марка 6796-03 на шасси VOLVO FНмодель № двиг. D13 015929шасси YV2ASW0A86B432039цвет серыймощность двиг. 480 л.с.раб. V двиг. 12780 куб.см.разрешенная макс. масса 18000 кг.масса без нагрузки 7500 кг.страна Россия|||||VOLVO FM|5TSARZ|
174|2014-000-000150-688|X89679603C0AF0027|Грузовой-тягач специальный2012 г.в.гос.номер С729РН69марка 6796-03 на шасси VOLVO FНмодель № двиг. D13 011879шасси YV2AS02A16A429008цвет синиймощность двиг. 440 л.с.раб. V двиг. 12780 куб.см.разрешенная макс.масса 18000 кг.масса без нагрузки 7500 кг.страна Россия|||||VOLVO FM|5TSARZ|
175|2014-000-000150-688|X89470104C0AF0005|Грузовой-тягач специальный2012 г.в.гос.номер Х692РН69марка 470104 на шасси МЕRCEDES-BENZмодель № двиг. ОМ501LА54197600499190шасси WDB9340321L192438цвет белыймощность двиг. 320 л.с.раб.V двиг. 11946 куб.см.разрешенная макс. масса 18000 кг.масса без нагрузки 7000 кг.страна Россия||||||5TSARZ|
176|2014-000-000157-441|Y3M83781080011882|прицеп МАЗ 837810-020гос. номер АС 6941свидетельство о регистрации ТС 66 СХ № 702183 от 27.04.2010инв. № 10-01612||||MAZ OTHER|MAZ OTHER|MAZ|
200|2014-000-000160-251|SJNBAAN16U2674176|NISSAN ALMERA 1.5 LUXURY2006|||NISSAN ALMERA|||NISSAN|
201|2014-000-000161-907|SALLSAAF4DA776196|Land Rover Range Rover Sportлегковой2012 г.вцвет серыйбез повреждений||||||LAND ROVER|
202|2014-000-000162-696|JN1TCNS51U0442603|автомобиль марки INFINITI FX37легковойгод выпуска 2011государственный регистрационный знак - A703XO18идентификационный номер (VIN) JN1TCNS51U0442603; модель№ двигателя VQ37 308213Aшасси № отсутствуеткузов JN1TCNS51U0442603цвет белый||||||INFINITI|
203|2014-000-000163-828|SHSRE78708U016704|автомобиль марки HONDA CR-Vлегковойгод выпуска 2008государственный регистрационный знак - С838УН18идентификационный номер (VIN) SHSRE78708U016704; модель№ двигателя K24Z4 1018256шасси № отсутствуеткузов № SHSRE78708U016704цвет белый||||||HONDA|
204|2014-000-000164-500||Зерноуборочный комбайн РСМ-10Б ДОН-1500Бдвигатель №70309629заводской № машины (рамы) 096335год выпуска 2007коробка передач №2004основной ведущий мост (мосты) №2311рег.знак 34СН2155.|||||||
205|2014-000-000165-876|WMA26WZZ8BP023972|Автомобиль марки MAN TGS 33.390 6X4 BB-WWгод выпуска - 2010двигатель D2066LF02 50526750932686шасси WMA26WZZ8BP023972цвет - оранжевыйрегистрационный номер М285РН40||||||ERF|
206|2014-000-000168-573|WVWZZZ1KZ8W158127|автомобиль марки VOLKSWAGEN GOLFлегковойгод выпуска 2007государственный регистрационный знак - B999OA18идентификационный номер (VIN) WVWZZZ1KZ8W158127; модель№ двигателя BSE 498791шасси № отсутствуеткузов WVWZZZ1KZ8W158127цвет серебристый|||||VOLKSWAGEN OTHER|AUDI|
209|2014-000-000172-988|X8996091PC0AE4011|Полуприцеп-топливнозаправщик ППЦТ-176; 2012 года выпускацвет: белыйПТС №31 НМ 669567 выдан 20.07.2012 адрес местонахождения: г.Владимирмкр.Юрьевецул.Ноябрьскаяд.138.||||||5TSARZ|
210|2014-000-000172-988|X8996091PC0AE4012|Полуприцеп-топливнозаправщик ППЦТ-27; 2012 года выпускацвет: белыйПТС №31 НМ 669568 выдан 20.07.2012 адрес местонахождения: г.Владимирмкр.Юрьевецул.Ноябрьскаяд.138.||||||5TSARZ|
211|2014-000-000172-988|030150S7331|Автопогрузчик HELI CPQD15(FG15); 2012 года выпускацвет: оранжевыйТС №233057 выдан 09.12.2012 адрес местонахождения: г.Владимирмкр.Юрьевецул.Ноябрьскаяд.138.|||||||
215|2014-000-000173-073|SALLSAAE4BA713833|автомашина LAND ROVER RANGE ROVER SPORT2011 года выпускацвет - ярко-белый||||||LAND ROVER|
216|2014-000-000174-733|WP1AA2A23BLA04881|автомашина PORSHE CAYENNE2010 года выпускацвет - черный||||||PORSCHE|
217|2014-000-000175-670|JTJHT00W523520160|автомашина LEXUS LX4702002 года выпускацвет - черный||||||LEXUS|
218|2014-000-000176-813|JTHBK262805083847|автомашина LEXUS IS2502008 года выпускацвет - серо-голубой||||||LEXUS|
219|2014-000-000177-750|WAUZZZ8K69A191760|автомашина АУДИ S42009 года выпускацвет- красный||||AUDI S4|AUDI S4|AUDI|
220|2014-000-000178-236|JSAJTD54V00275087|автомашина SUZUKI GRAND VITARA2008 года выпускацвет- красный||||||SUZUKI|
221|2014-000-000179-173|WAUZZZ4L78D001556|АВТОМАШИНА AUDI Q7 3.0 TDI QUATTROцвет черный|||AUDI Q7|AUDI Q7|AUDI Q7|AUDI|
222|2014-000-000180-471|WP1AA29P44LA24107|автомашина PORSCHE CAYENNE204 года выпускацвет бордовый||||||PORSCHE|
223|2014-000-000181-421|XW8ZZZ61ZCG017024|автомашина VOLKSWAGEN POLO2011 года выпускацвет - черный||||||AUDI|
224|2014-000-000182-369|WDB4632481X123598|автомашина МЕРСЕДЕС БЕНЦ G5002000 года выпускацвет- черный||||MERCEDES-BENZ OTHER|MERCEDES-BENZ OTHER|MERCEDES-BENZ|
225|2014-000-000182-369|Z7J23210B70000103|АВТОМОБИЛЬ-ФУРГОН23210ВБ 207 гшода выпускацвет - белый||||JMC 1032|JMC 1032|JMC|
226|2014-000-000183-319|SB1BR56L60E250900|автомашина TOYOTA AVENSIS2008 года выпускацвет - серебристый||||||TOYOTA|
227|2014-000-000183-319|Y3K65151071200784|МЗКТ-65151200 года выпускацвет- желтый||||||MAZ|
229|2014-000-000184-612|JTMBH31V506064254|TOYOTA RAV42007 года выпускацвет черный||||||TOYOTA|
230|2014-000-000185-556|SALVA2BB9CH643555|автомашина LAND ROVER RANGE ROVER EVOQUE2012 года выпускацвет- ярко-белый||||||LAND ROVER|
231|2014-000-000186-853|1FMCU92Z18KA33134|автомашина FORD ESCAPE2007 года выпускацвет-серо-голубой||||||FORD|
232|2014-000-000187-061||Зерноуборочный Комбайн РСМ-10Б Дон 1500Б|||||||
233|2014-000-000188-295|Z94CU41CBDR200382|МаркаМодель HYUNDAI SOLARIS Наименование (тип ТС) ЛЕГКОВОЙВ год выпуска 2013 тип№ двигателя БЕНЗИНОВЫЙG4FA CW558878 кузовкабина Z94CU41CBDR200382 цвет БЕЛЫЙ Мощность двигателял.с. 107 л.с. (787 кВт) Рабочий объем двигателякуб.см 1396 Организация- изготовитель ТС (страна) ООО ХММР (РОССИЯ) Серия№ТДТПО отсутствует ПТС 78 НС №319075 от 13.03.2013 г.|||HYUNDAI SOLARIS|||HYUNDAI|
234|2014-000-000189-870|KMHSH81BDCU882885|МаркаМодель HYUNDAI SANTA FE 2.4 AT Наименование (тип ТС) ЛЕГКОВОЙВ год выпуска 2012 тип№ двигателя БЕНЗИНОВЫЙG4KE CU686223 кузовкабина KMHSH81BDCU882885 цвет СИНИЙ Мощность двигателял.с. 174 (128) Рабочий объем двигателякуб.см 2359 Организация- изготовитель ТС (страна) ХЕНДЭ МОТОР КОМПАНИ (КОРЕЯРЕСПУБЛИКА) Серия№ТДТПО 10009194/310312/0008167 ПТС 78 УС №557031 от 31.03.2012 г.|||HYUNDAI SANTA FE|HYUNDAI OTHER|HYUNDAI OTHER|HYUNDAI|
235|2014-000-000187-061/1||Зерноуборочный Комбайн РСМ-105 Дон 1500Б 2003 года выпускадвигатель № 30176846свидетельство о регистрации ВН № 882772государственный регистрационный знак 34 ВК 5008|||||||
236|2014-000-000187-061/1||Зерноуборочный Комбайн РСМ-105 Дон 1500Б 2003 года выпускадвигатель № 30177807свидетельство о регистрации ВН № 882771государственный регистрационный знак 34 ВК 5007|||||||
475|2014-000-000267-980|XTA217250E0262128|LADA217250 LADA PRIORA2014||||||ATLETIC|
476|2014-000-000268-818|XTA219170EY106450|LADA219170 LADA GRANTA2014|||||LADA 2191 GRANTA LIFTBACK|ATLETIC|
477|2014-000-000273-661|TMBCY46Y764441605|SCODA FABIA2005 года выпуска||||||HYUNDAI|
237|2014-000-000190-543|WDD2073471F119129|МаркаМодель MERCEDES-BENZ E250 Наименование (тип ТС) ЛЕГКОВОЙВ год выпуска 2011 тип№ двигателя БЕНЗИНОВЫЙ27186030228497 кузовкабина WDD2073471F119129 цвет ЧЕРНЫЙ Мощность двигателял.с. 204 л.с150 кВт Рабочий объем двигателякуб.см 1796 Организация- изготовитель ТС (страна) DAIMLER AG (Германия) Серия№ТДТПО 10009210/290311/0000016 ПТС 77 УE №490458 от 29.03.2011 г.|||||MAN OTHER|MERCEDES-BENZ|
238|2014-000-000191-300|XUFPE6DD1D3050773|автомашина OPEL P-J ASTRA2013 года выпускацвет - белый||||||CADILLAC|
239|2014-000-000192-799|X8929454580AK5061|автомашина РЫЦАРЬ- 294544-01специализированныйбронированный2008 года выпускацвет желтый||||||5TSARZ|
240|2014-000-000193-931|XW8ZZZ61ZEG062701|автомашина VOLKSWAGEN POLO2014 года выпускацвет- темно-синий||||||AUDI|
241|2014-000-000194-609|Z94CT51CACR038589|автомашина HYUNDAY SOLARIS 2012 года выпускацвет - черный||||||HYUNDAI|
259|2014-000-000196-234|JN1TANS50U0001448|МаркаМодель INFINITI FX35 PREMIUM Наименование (тип ТС) ЛЕГКОВОЙВ год выпуска 2007 тип№ двигателя БЕНЗИНОВЫЙкузовкабина JN1TANS50U0001448 цвет серый Мощность двигателял.с. 280 (206) Рабочий объем двигателякуб.см 3498 Организация- изготовитель ТС (страна) Япония Серия№ТДТПО 10222070/240507/ПО16340 ПТС 78 ТО №116760 от 27.05.2007 года|||INFINITI FX|||INFINITI|
260|2014-000-000197-059|1HGRM4870DL510735|Автомобиль HONDA CR-V||||||HONDA|
261|2014-000-000198-028|WDD2040311A881359|МаркаМодель MERSEDES BENZ C180 Наименование (тип ТС) ЛЕГКОВОЙВ год выпуска 2013 тип№ двигателя БЕНЗИНОВЫЙ27491030069071 кузовкабина WDD2040311A881359 цвет черный Мощность двигателял.с. 156 (115) Рабочий объем двигателякуб.см 1595 Организация- изготовитель ТС (страна) Германия Серия№ТДТПО 10009210/260513/0003293 ПТС 77 УН №541246 от 26.05.2013 года|||||MAN OTHER|MERCEDES-BENZ|
262|2014-000-000199-266|WDS1668231A247872|МERSEDES-BENZ GL 350CDI 4 MATIC 2013 года выпускацвет кузова-черныйрегистрационный знак В 900 СЕ 178ПТС 77 УР 948856 от 27.06.2013||||||BMW|
